,side_effects
1560,['nan']
1561,['nan']
1562,['nan']
1563,"['pain', 'swallowing', 'bloody', 'tarry', 'stools', 'cough', 'bloody', 'mucus', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'changes', 'mood', 'anxiety', 'agitation', 'confusion', 'hallucinations', 'breast', 'swelling', 'tenderness', 'Serious', 'side', 'effects', 'may', 'likely', 'older', 'adults', 'ill', 'debilitated', 'Common', 'side', 'effects', 'cimetidine', 'may', 'include', 'headache', 'diarrhea']"
1564,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Dexlansoprazole', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'severe', 'stomach', 'pain', 'diarrhea', 'watery', 'bloody', 'seizure', 'convulsions', 'sudden', 'pain', 'trouble', 'moving', 'hip', 'wrist', 'back', 'kidney', 'problems', '--', 'fever', 'rash', 'nausea', 'loss', 'appetite', 'joint', 'pain', 'urinating', 'less', 'usual', 'blood', 'urine', 'weight', 'gain', 'low', 'magnesium', '--', 'dizziness', 'fast', 'irregular', 'heart', 'rate', 'tremors', 'shaking', 'jerking', 'muscle', 'movements', 'feeling', 'jittery', 'muscle', 'cramps', 'muscle', 'spasms', 'hands', 'feet', 'cough', 'choking', 'feeling', 'new', 'worsening', 'symptoms', 'lupus', '--', 'joint', 'pain', 'skin', 'rash', 'cheeks', 'arms', 'worsens', 'sunlight', 'Taking', 'dexlansoprazole', 'long-term', 'may', 'cause', 'develop', 'stomach', 'growths', 'called', 'fundic', 'gland', 'polyps', 'Talk', 'doctor', 'risk', 'If', 'use', 'dexlansoprazole', 'longer', '3', 'years', 'could', 'develop', 'vitamin', 'B-12', 'deficiency', 'Talk', 'doctor', 'manage', 'condition', 'develop', 'Common', 'side', 'effects', 'dexlansoprazole', 'may', 'include', 'nausea', 'vomiting', 'stomach', 'pain', 'gas', 'diarrhea', 'headache', 'mouth', 'pain', 'sore', 'throat', 'stuffy', 'nose', 'sinus', 'pain', 'cold', 'symptoms']"
1565,"['Along', 'needed', 'effects', 'medicine', 'may', 'cause', 'unwanted', 'effects', 'Although', 'side', 'effects', 'may', 'occur', 'occur', 'may', 'need', 'medical', 'attention', 'Check', 'doctor', 'immediately', 'following', 'side', 'effects', 'occur', 'Rare', 'Anxiety', 'bleeding', 'gums', 'blistering', 'peeling', 'loosening', 'skin', 'blood', 'urine', 'stools', 'bloody', 'black', 'tarry', 'stools', 'cough', 'difficulty', 'breathing', 'discouragement', 'fast', 'irregular', 'pounding', 'racing', 'heartbeat', 'pulse', 'feeling', 'sad', 'empty', 'irritability', 'lack', 'appetite', 'loss', 'interest', 'pleasure', 'noisy', 'breathing', 'pinpoint', 'red', 'spots', 'skin', 'seeing', 'hearing', 'feeling', 'things', 'seizures', 'swelling', 'around', 'eyes', 'tightness', 'chest', 'trouble', 'concentrating', 'trouble', 'sleeping', 'unusual', 'bleeding', 'bruising', 'Incidence', 'known', 'Agitation', 'blistering', 'peeling', 'loosening', 'skin', 'burning', 'crawling', 'itching', 'numbness', 'prickling', '``', 'pins', 'needles', ""''"", 'tingling', 'feelings', 'chest', 'pain', 'chills', 'clay-colored', 'stools', 'dark', 'urine', 'diarrhea', 'difficulty', 'swallowing', 'dizziness', 'fainting', 'fever', 'general', 'feeling', 'tiredness', 'weakness', 'headache', 'high', 'fever', 'hives', 'itching', 'skin', 'rash', 'hoarseness', 'joint', 'muscle', 'pain', 'large', 'hive-like', 'swelling', 'face', 'eyelids', 'lips', 'tongue', 'throat', 'hands', 'legs', 'feet', 'genitals', 'light-colored', 'stools', 'lower', 'back', 'side', 'pain', 'nausea', 'painful', 'difficult', 'urination', 'pale', 'skin', 'puffiness', 'swelling', 'eyelids', 'around', 'eyes', 'face', 'lips', 'tongue', 'red', 'skin', 'lesions', 'often', 'purple', 'center', 'red', 'irritated', 'eyes', 'sore', 'throat', 'sores', 'ulcers', 'white', 'spots', 'mouth', 'lips', 'stomach', 'pain', 'swollen', 'glands', 'unpleasant', 'breath', 'odor', 'unusual', 'tiredness', 'weakness', 'upper', 'right', 'abdominal', 'pain', 'vomiting', 'blood', 'yellow', 'eyes', 'skin', 'Some', 'side', 'effects', 'may', 'occur', 'usually', 'need', 'medical', 'attention', 'These', 'side', 'effects', 'may', 'go', 'away', 'treatment', 'body', 'adjusts', 'medicine', 'Also', 'health', 'care', 'professional', 'may', 'able', 'tell', 'ways', 'prevent', 'reduce', 'side', 'effects', 'Check', 'health', 'care', 'professional', 'following', 'side', 'effects', 'continue', 'bothersome', 'questions', 'Less', 'common', 'Difficulty', 'bowel', 'movement', 'Rare', 'Bad', 'unusual', 'unpleasant', 'taste', 'bone', 'muscle', 'pain', 'change', 'taste', 'continuing', 'ringing', 'buzzing', 'unexplained', 'noise', 'ears', 'decreased', 'interest', 'sexual', 'intercourse', 'difficulty', 'moving', 'dry', 'mouth', 'dry', 'skin', 'feeling', 'warmth', 'hearing', 'loss', 'inability', 'keep', 'erection', 'lack', 'loss', 'strength', 'loss', 'sexual', 'ability', 'desire', 'drive', 'performance', 'muscle', 'pain', 'stiffness', 'redness', 'face', 'neck', 'arms', 'occasionally', 'upper', 'chest', 'redness', 'white', 'part', 'eyes', 'stomach', 'discomfort', 'unusual', 'drowsiness', 'Other', 'side', 'effects', 'listed', 'may', 'also', 'occur', 'patients', 'If', 'notice', 'effects', 'check', 'healthcare', 'professional', 'Call', 'doctor', 'medical', 'advice', 'side', 'effects', 'You', 'may', 'report', 'side', 'effects', 'FDA', '1-800-FDA-1088', 'Heartburn', 'Relief', 'side', 'effects']"
1566,['nan']
1567,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Stop', 'taking', 'metoclopramide', 'call', 'doctor', 'SIGNS', 'OF', 'A', 'SERIOUS', 'MOVEMENT', 'DISORDER', 'may', 'occur', 'within', 'first', '2', 'days', 'treatment', 'tremors', 'shaking', 'arms', 'legs', 'uncontrolled', 'muscle', 'movements', 'face', 'chewing', 'lip', 'smacking', 'frowning', 'tongue', 'movement', 'blinking', 'eye', 'movement', 'new', 'unusual', 'muscle', 'movements', 'control', 'Call', 'doctor', 'confusion', 'depression', 'thoughts', 'suicide', 'hurting', 'slow', 'jerky', 'muscle', 'movements', 'problems', 'balance', 'walking', 'mask-like', 'appearance', 'face', 'seizure', 'anxiety', 'agitation', 'jittery', 'feeling', 'trouble', 'staying', 'still', 'trouble', 'sleeping', 'swelling', 'feeling', 'short', 'breath', 'rapid', 'weight', 'gain', 'severe', 'nervous', 'system', 'reaction', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Common', 'metoclopramide', 'side', 'effects', 'may', 'include', 'feeling', 'restless', 'feeling', 'drowsy', 'tired', 'lack', 'energy', 'nausea', 'vomiting', 'headache', 'confusion', 'sleep', 'problems', 'insomnia']"
1568,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Omeprazole', 'sodium', 'bicarbonate', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'severe', 'stomach', 'pain', 'diarrhea', 'watery', 'bloody', 'new', 'unusual', 'pain', 'wrist', 'back', 'hip', 'thigh', 'muscle', 'twitching', 'tremor', 'numbness', 'tingling', 'face', 'arms', 'legs', 'confusion', 'dizziness', 'seizure', 'low', 'magnesium', '--', 'dizziness', 'irregular', 'heartbeats', 'feeling', 'jittery', 'muscle', 'cramps', 'muscle', 'spasms', 'cough', 'choking', 'feeling', 'kidney', 'problems', '--', 'fever', 'rash', 'nausea', 'loss', 'appetite', 'joint', 'pain', 'urinating', 'less', 'usual', 'blood', 'urine', 'weight', 'gain', 'new', 'worsening', 'symptoms', 'lupus', '--', 'joint', 'pain', 'skin', 'rash', 'cheeks', 'arms', 'worsens', 'sunlight', 'vitamin', 'B12', 'deficiency', '--', 'shortness', 'breath', 'feeling', 'lightheaded', 'irregular', 'heartbeats', 'muscle', 'weakness', 'pale', 'skin', 'tiredness', 'mood', 'changes', 'Taking', 'medicine', 'long-term', 'may', 'cause', 'develop', 'stomach', 'growths', 'called', 'fundic', 'gland', 'polyps', 'Talk', 'doctor', 'risk', 'If', 'use', 'omeprazole', 'sodium', 'bicarbonate', 'longer', '3', 'years', 'could', 'develop', 'vitamin', 'B-12', 'deficiency', 'Talk', 'doctor', 'manage', 'condition', 'develop', 'Common', 'side', 'effects', 'omeprazole', 'sodium', 'bicarbonate', 'may', 'include', 'headache', 'nausea', 'vomiting', 'stomach', 'pain', 'gas', 'diarrhea']"
1569,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Dizziness', 'passing', 'A', 'fast', 'heartbeat', 'A', 'heartbeat', 'feel', 'normal', 'Pepcid', 'AC', 'Chewable', 'Tablets', 'side', 'effects']"
1570,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Dizziness', 'passing', 'A', 'fast', 'heartbeat', 'A', 'heartbeat', 'feel', 'normal', 'Pepcid', 'Oral', 'Suspension', 'side', 'effects']"
1571,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Mylanta', 'side', 'effects']"
1572,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Stop', 'taking', 'Reglan', 'call', 'doctor', 'SIGNS', 'OF', 'A', 'SERIOUS', 'MOVEMENT', 'DISORDER', 'may', 'occur', 'within', 'first', '2', 'days', 'treatment', 'tremors', 'shaking', 'arms', 'legs', 'uncontrolled', 'muscle', 'movements', 'face', 'chewing', 'lip', 'smacking', 'frowning', 'tongue', 'movement', 'blinking', 'eye', 'movement', 'new', 'unusual', 'muscle', 'movements', 'control', 'Call', 'doctor', 'confusion', 'depression', 'thoughts', 'suicide', 'hurting', 'slow', 'jerky', 'muscle', 'movements', 'problems', 'balance', 'walking', 'mask-like', 'appearance', 'face', 'seizure', 'anxiety', 'agitation', 'jittery', 'feeling', 'trouble', 'staying', 'still', 'trouble', 'sleeping', 'swelling', 'feeling', 'short', 'breath', 'rapid', 'weight', 'gain', 'severe', 'nervous', 'system', 'reaction', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Common', 'Reglan', 'side', 'effects', 'may', 'include', 'feeling', 'restless', 'feeling', 'drowsy', 'tired', 'lack', 'energy', 'nausea', 'vomiting', 'headache', 'confusion', 'sleep', 'problems', 'insomnia']"
1573,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Call', 'doctor', 'severe', 'stomach', 'pain', 'diarrhea', 'watery', 'bloody', 'new', 'unusual', 'pain', 'wrist', 'back', 'hip', 'thigh', 'muscle', 'twitching', 'tremor', 'numbness', 'tingling', 'face', 'arms', 'legs', 'confusion', 'dizziness', 'seizure', 'low', 'magnesium', 'dizziness', 'irregular', 'heartbeats', 'feeling', 'jittery', 'muscle', 'cramps', 'muscle', 'spasms', 'cough', 'choking', 'feeling', 'kidney', 'problems', 'fever', 'rash', 'nausea', 'loss', 'appetite', 'joint', 'pain', 'urinating', 'less', 'usual', 'blood', 'urine', 'weight', 'gain', 'new', 'worsening', 'symptoms', 'lupus', 'joint', 'pain', 'skin', 'rash', 'cheeks', 'arms', 'worsens', 'sunlight', 'vitamin', 'B12', 'deficiency', 'shortness', 'breath', 'feeling', 'lightheaded', 'irregular', 'heartbeats', 'muscle', 'weakness', 'pale', 'skin', 'tiredness', 'mood', 'changes', 'Taking', 'medicine', 'long-term', 'may', 'cause', 'develop', 'stomach', 'growths', 'called', 'fundic', 'gland', 'polyps', 'Talk', 'doctor', 'risk', 'If', 'use', 'Zegerid', 'longer', '3', 'years', 'could', 'develop', 'vitamin', 'B-12', 'deficiency', 'Talk', 'doctor', 'manage', 'condition', 'develop', 'Common', 'Zegerid', 'side', 'effects', 'may', 'include', 'headache', 'nausea', 'vomiting', 'stomach', 'pain', 'gas', 'diarrhea']"
1574,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Calcium', 'carbonate', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'little', 'urinating', 'swelling', 'rapid', 'weight', 'gain', 'high', 'levels', 'calcium', 'blood', '--', 'nausea', 'vomiting', 'constipation', 'increased', 'thirst', 'urination', 'muscle', 'weakness', 'bone', 'pain', 'confusion', 'lack', 'energy', 'feeling', 'tired', 'Common', 'side', 'effects', 'calcium', 'carbonate', 'may', 'include', 'upset', 'stomach', 'gas', 'constipation']"
1575,"['Along', 'needed', 'effects', 'medicine', 'may', 'cause', 'unwanted', 'effects', 'Although', 'side', 'effects', 'may', 'occur', 'occur', 'may', 'need', 'medical', 'attention', 'Check', 'doctor', 'nurse', 'immediately', 'following', 'side', 'effects', 'occur', 'Less', 'common', 'Bloody', 'black', 'tarry', 'stools', 'diarrhea', 'fever', 'vomiting', 'blood', 'material', 'looks', 'like', 'coffee', 'grounds', 'Rare', 'Drowsiness', 'loss', 'appetite', 'mood', 'mental', 'changes', 'muscle', 'spasms', 'tetany', 'twitching', 'nausea', 'seizures', 'trembling', 'unusual', 'tiredness', 'weakness', 'vomiting', 'Incidence', 'known', 'Agitation', 'back', 'pain', 'blistering', 'peeling', 'loosening', 'skin', 'bloating', 'bloody', 'cloudy', 'urine', 'blurred', 'vision', 'bone', 'fracture', 'chest', 'pain', 'tightness', 'confusion', 'constipation', 'cough', 'darkened', 'urine', 'decreased', 'urine', 'difficulty', 'breathing', 'difficulty', 'swallowing', 'dizziness', 'dry', 'mouth', 'fast', 'heartbeat', 'fever', 'without', 'chills', 'general', 'feeling', 'discomfort', 'illness', 'greatly', 'decreased', 'frequency', 'urination', 'amount', 'urine', 'headache', 'high', 'fever', 'hoarseness', 'indigestion', 'irritability', 'joint', 'muscle', 'pain', 'light-colored', 'stools', 'loss', 'consciousness', 'lower', 'back', 'side', 'pain', 'muscle', 'aches', 'cramps', 'stiffness', 'weakness', 'nausea', 'noisy', 'breathing', 'numbness', 'tingling', 'around', 'mouth', 'fingertips', 'feet', 'painful', 'difficult', 'urination', 'pains', 'stomach', 'side', 'abdomen', 'possibly', 'radiating', 'back', 'pale', 'skin', 'puffiness', 'swelling', 'eyelids', 'around', 'eyes', 'face', 'lips', 'tongue', 'red', 'skin', 'lesions', 'often', 'purple', 'center', 'red', 'irritated', 'eyes', 'skin', 'rash', 'hives', 'itching', 'sore', 'throat', 'sores', 'ulcers', 'white', 'spots', 'mouth', 'lips', 'stiff', 'neck', 'stomach', 'cramps', 'stomach', 'pain', 'continuing', 'swelling', 'feet', 'lower', 'legs', 'swelling', 'inflammation', 'mouth', 'swollen', 'glands', 'tenderness', 'unusual', 'bleeding', 'bruising', 'upper', 'right', 'stomach', 'pain', 'watery', 'bloody', 'diarrhea', 'yellow', 'eyes', 'skin', 'Some', 'side', 'effects', 'may', 'occur', 'usually', 'need', 'medical', 'attention', 'These', 'side', 'effects', 'may', 'go', 'away', 'treatment', 'body', 'adjusts', 'medicine', 'Also', 'health', 'care', 'professional', 'may', 'able', 'tell', 'ways', 'prevent', 'reduce', 'side', 'effects', 'Check', 'health', 'care', 'professional', 'following', 'side', 'effects', 'continue', 'bothersome', 'questions', 'More', 'common', 'Belching', 'heartburn', 'stomach', 'discomfort', 'upset', 'Less', 'common', 'Burning', 'itching', 'redness', 'skin', 'rash', 'swelling', 'soreness', 'injection', 'site', 'difficulty', 'bowel', 'movement', 'dryness', 'mouth', 'feeling', 'constant', 'movement', 'self', 'surroundings', 'gas', 'pain', 'tenderness', 'around', 'eyes', 'cheekbones', 'sensation', 'spinning', 'sneezing', 'stuffy', 'runny', 'nose', 'Incidence', 'known', 'Aggression', 'bad', 'unusual', 'unpleasant', 'taste', 'change', 'taste', 'difficulty', 'moving', 'discouragement', 'feeling', 'sad', 'empty', 'increased', 'sensitivity', 'skin', 'sunlight', 'joint', 'swelling', 'loss', 'interest', 'pleasure', 'redness', 'discoloration', 'skin', 'seeing', 'hearing', 'feeling', 'things', 'severe', 'sunburn', 'swelling', 'breasts', 'breast', 'soreness', 'females', 'males', 'thinning', 'loss', 'hair', 'trouble', 'concentrating', 'trouble', 'sleeping', 'Other', 'side', 'effects', 'listed', 'may', 'also', 'occur', 'patients', 'If', 'notice', 'effects', 'check', 'healthcare', 'professional', 'Call', 'doctor', 'medical', 'advice', 'side', 'effects', 'You', 'may', 'report', 'side', 'effects', 'FDA', '1-800-FDA-1088', 'Nexium', 'IV', 'side', 'effects']"
1576,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Nizatidine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'nizatidine', 'call', 'doctor', 'worsening', 'heartburn', 'chest', 'pain', 'pale', 'skin', 'feeling', 'light-headed', 'short', 'breath', 'jaundice', 'yellowing', 'skin', 'eyes', 'Common', 'side', 'effects', 'nizatidine', 'may', 'include', 'headache', 'dizziness', 'diarrhea', 'runny', 'stuffy', 'nose']"
1577,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'This', 'medicine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'medicine', 'call', 'doctor', 'bone', 'pain', 'muscle', 'weakness', 'confusion', 'changes', 'mental', 'state', 'seizure', 'convulsions', 'pale', 'skin', 'feeling', 'light-headed', 'short', 'breath', 'rapid', 'heart', 'rate', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
1578,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Bethanechol', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'slow', 'heartbeats', 'light-headed', 'feeling', 'like', 'might', 'pass', 'wheezing', 'chest', 'tightness', 'trouble', 'breathing', 'Common', 'side', 'effects', 'bethanechol', 'may', 'include', 'urgent', 'need', 'urinate', 'stomach', 'cramps', 'nausea', 'diarrhea', 'burping', 'increased', 'saliva', 'headache', 'dizziness', 'sweating', 'flushing', 'sudden', 'warmth', 'redness', 'tingly', 'feeling', 'general', 'ill', 'feeling', 'watery', 'eyes', 'vision', 'changes']"
1579,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Very', 'bad', 'constipation', 'Calci-Chew', 'side', 'effects']"
1580,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Stop', 'using', 'Pepcid', 'Complete', 'call', 'doctor', 'heartburn', 'gets', 'worse', 'still', 'heartburn', '2', 'weeks', 'taking', 'Pepcid', 'Complete', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
1581,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Prevacid', 'OTC', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'severe', 'stomach', 'pain', 'diarrhea', 'watery', 'bloody', 'new', 'unusual', 'pain', 'wrist', 'back', 'hip', 'thigh', 'seizure', 'convulsions', 'kidney', 'problems', '--', 'fever', 'nausea', 'little', 'urination', 'blood', 'urine', 'swelling', 'rapid', 'weight', 'gain', 'low', 'magnesium', '--', 'dizziness', 'fast', 'irregular', 'heart', 'rate', 'tremors', 'shaking', 'jerking', 'muscle', 'movements', 'feeling', 'jittery', 'muscle', 'cramps', 'muscle', 'spasms', 'hands', 'feet', 'cough', 'choking', 'feeling', 'new', 'worsening', 'symptoms', 'lupus', '--', 'joint', 'pain', 'skin', 'rash', 'cheeks', 'arms', 'worsens', 'sunlight', 'Taking', 'Prevacid', 'OTC', 'long-term', 'may', 'cause', 'develop', 'stomach', 'growths', 'called', 'fundic', 'gland', 'polyps', 'Talk', 'doctor', 'risk', 'If', 'use', 'Prevacid', 'OTC', 'longer', '3', 'years', 'could', 'develop', 'vitamin', 'B-12', 'deficiency', 'Talk', 'doctor', 'manage', 'condition', 'develop', 'Common', 'side', 'effects', 'Prevacid', 'OTC', 'may', 'include', 'nausea', 'stomach', 'pain', 'diarrhea', 'constipation', 'headache']"
1582,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Prevacid', 'SoluTab', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'severe', 'stomach', 'pain', 'diarrhea', 'watery', 'bloody', 'new', 'unusual', 'pain', 'wrist', 'back', 'hip', 'thigh', 'seizure', 'convulsions', 'kidney', 'problems', '--', 'fever', 'nausea', 'little', 'urination', 'blood', 'urine', 'swelling', 'rapid', 'weight', 'gain', 'low', 'magnesium', '--', 'dizziness', 'fast', 'irregular', 'heart', 'rate', 'tremors', 'shaking', 'jerking', 'muscle', 'movements', 'feeling', 'jittery', 'muscle', 'cramps', 'muscle', 'spasms', 'hands', 'feet', 'cough', 'choking', 'feeling', 'new', 'worsening', 'symptoms', 'lupus', '--', 'joint', 'pain', 'skin', 'rash', 'cheeks', 'arms', 'worsens', 'sunlight', 'Taking', 'Prevacid', 'SoluTab', 'long-term', 'may', 'cause', 'develop', 'stomach', 'growths', 'called', 'fundic', 'gland', 'polyps', 'Talk', 'doctor', 'risk', 'If', 'use', 'Prevacid', 'SoluTab', 'longer', '3', 'years', 'could', 'develop', 'vitamin', 'B-12', 'deficiency', 'Talk', 'doctor', 'manage', 'condition', 'develop', 'Common', 'side', 'effects', 'Prevacid', 'SoluTab', 'may', 'include', 'nausea', 'stomach', 'pain', 'diarrhea', 'constipation', 'headache']"
1583,"['pain', 'swallowing', 'bloody', 'tarry', 'stools', 'cough', 'bloody', 'mucus', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'changes', 'mood', 'anxiety', 'agitation', 'confusion', 'hallucinations', 'breast', 'swelling', 'tenderness', 'Serious', 'side', 'effects', 'may', 'likely', 'older', 'adults', 'ill', 'debilitated', 'Common', 'side', 'effects', 'Tagamet', 'HB', 'may', 'include', 'headache', 'diarrhea']"
1584,"['Stop', 'taking', 'calcium', 'carbonate', 'seek', 'emergency', 'medical', 'attention', 'experience', 'rare', 'allergic', 'reaction', 'difficulty', 'breathing', 'closing', 'throat', 'swelling', 'lips', 'tongue', 'face', 'hives', 'Other', 'less', 'serious', 'side', 'effects', 'may', 'likely', 'occur', 'Continue', 'take', 'calcium', 'carbonate', 'notify', 'doctor', 'experience', 'nausea', 'vomiting', 'decreased', 'appetite', 'constipation', 'dry', 'mouth', 'increased', 'thirst', 'increased', 'urination', 'Side', 'effects', 'listed', 'may', 'also', 'occur', 'Talk', 'doctor', 'side', 'effect', 'seems', 'unusual', 'especially', 'bothersome', 'Titralac', 'side', 'effects']"
1585,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Very', 'bad', 'constipation', 'Tums', 'Regular', 'Strength', 'side', 'effects']"
1586,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Very', 'bad', 'constipation', 'Tums', 'Smoothies', 'side', 'effects']"
1587,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Call', 'doctor', 'severe', 'stomach', 'pain', 'diarrhea', 'watery', 'bloody', 'new', 'unusual', 'pain', 'wrist', 'back', 'hip', 'thigh', 'muscle', 'twitching', 'tremor', 'numbness', 'tingling', 'face', 'arms', 'legs', 'confusion', 'dizziness', 'seizure', 'low', 'magnesium', 'dizziness', 'irregular', 'heartbeats', 'feeling', 'jittery', 'muscle', 'cramps', 'muscle', 'spasms', 'cough', 'choking', 'feeling', 'kidney', 'problems', 'little', 'urination', 'blood', 'urine', 'swelling', 'rapid', 'weight', 'gain', 'new', 'worsening', 'symptoms', 'lupus', 'joint', 'pain', 'skin', 'rash', 'cheeks', 'arms', 'worsens', 'sunlight', 'vitamin', 'B12', 'deficiency', 'shortness', 'breath', 'feeling', 'lightheaded', 'irregular', 'heartbeats', 'muscle', 'weakness', 'pale', 'skin', 'tiredness', 'mood', 'changes', 'Common', 'Zegerid', 'OTC', 'side', 'effects', 'may', 'include', 'headache', 'nausea', 'vomiting', 'stomach', 'pain', 'gas', 'diarrhea']"
